time/h,Ewe/V
0.000277056,3.2013
0.000555556,3.20234
0.000555667,3.21292
0.000559333,3.22295
0.000570389,3.23297
0.000584833,3.24299
0.000602111,3.25301
0.000621667,3.26309
0.000643167,3.27314
0.000666278,3.2832
0.000691111,3.29327
0.000717611,3.30332
0.000745056,3.31335
0.000773833,3.32338
0.000803556,3.33339
0.0008345,3.34346
0.000866444,3.35346
0.000899778,3.36349
0.000933667,3.37351
0.0009685,3.38354
0.001,3.39357
0.00104,3.40357
0.00108,3.41366
0.00112,3.42367
0.00116,3.43369
0.0012,3.44372
0.00124,3.45376
0.00128,3.46378
0.00132,3.47383
0.00137,3.48386
0.00141,3.49387
0.00146,3.5039
0.00151,3.51399
0.00156,3.52404
0.00161,3.53406
0.00166,3.54412
0.00171,3.55413
0.00177,3.56414
0.00183,3.57421
0.00189,3.58427
0.00195,3.59427
0.00202,3.60432
0.00209,3.61434
0.00216,3.62439
0.00224,3.63439
0.00232,3.64446
0.00241,3.65453
0.00252,3.66455
0.00264,3.67456
0.00279,3.68457
0.00302,3.69458
0.00527,3.68456
0.00746,3.67455
0.0158,3.66485
0.02413,3.66179
0.03246,3.66045
0.0408,3.66008
0.04913,3.65994
0.05746,3.66059
0.0658,3.66143
0.07413,3.66247
0.08246,3.66365
0.0908,3.66501
0.09913,3.66648
0.10746,3.66807
0.1158,3.66971
0.12413,3.67134
0.13246,3.673
0.1408,3.67476
0.14913,3.67643
0.15746,3.67826
0.1658,3.67997
0.17413,3.68184
0.18246,3.68359
0.1908,3.68534
0.19913,3.6872
0.20746,3.68908
0.2158,3.6909
0.22413,3.69246
0.23246,3.69439
0.2408,3.6963
0.24913,3.69806
0.25746,3.69978
0.2658,3.70157
0.27413,3.70327
0.28246,3.7051
0.2908,3.70665
0.29913,3.70835
0.30746,3.70992
0.3158,3.7116
0.32413,3.71318
0.33246,3.71496
0.3408,3.71644
0.34913,3.71801
0.35746,3.71958
0.3658,3.72105
0.37413,3.72259
0.38246,3.72399
0.3908,3.72533
0.39913,3.72701
0.40746,3.72824
0.4158,3.72969
0.42413,3.73107
0.43246,3.73238
0.4408,3.73376
0.44913,3.73503
0.45746,3.73622
0.4658,3.73746
0.47413,3.73886
0.48246,3.7401
0.4908,3.74119
0.49913,3.74254
0.50746,3.7437
0.5158,3.7448
0.52413,3.74595
0.53246,3.74701
0.5408,3.74807
0.54913,3.7491
0.55746,3.75038
0.5658,3.75146
0.57413,3.75245
0.58246,3.75355
0.5908,3.75455
0.59913,3.75563
0.60746,3.75664
0.6158,3.75774
0.62413,3.75865
0.63246,3.75975
0.6408,3.76051
0.64913,3.76149
0.65746,3.7624
0.6658,3.76351
0.67413,3.76435
0.68246,3.76538
0.6908,3.76619
0.69913,3.76703
0.70746,3.76791
0.7158,3.76873
0.72413,3.76956
0.73246,3.77063
0.7408,3.77141
0.74913,3.77213
0.75746,3.77307
0.7658,3.77404
0.77413,3.77484
0.78246,3.77559
0.7908,3.77647
0.79913,3.77734
0.80746,3.77805
0.8158,3.77883
0.82413,3.77972
0.83246,3.78038
0.8408,3.78125
0.84913,3.78199
0.85746,3.78279
0.8658,3.78368
0.87413,3.78427
0.88246,3.78507
0.8908,3.78577
0.89913,3.78656
0.90746,3.78737
0.9158,3.78803
0.92413,3.7889
0.93246,3.78976
0.9408,3.79034
0.94913,3.79117
0.95746,3.79188
0.9658,3.7926
0.97413,3.79328
0.98246,3.79409
0.9908,3.79462
0.99913,3.79546
1.00746,3.79615
1.0158,3.79672
1.02413,3.7976
1.03246,3.79826
1.0408,3.79899
1.04913,3.79954
1.05746,3.80033
1.0658,3.801
1.07413,3.80184
1.08246,3.80235
1.0908,3.80301
1.09913,3.80376
1.10746,3.80427
1.1158,3.80513
1.12413,3.80584
1.13246,3.80651
1.1408,3.80713
1.14913,3.80774
1.15746,3.80843
1.1658,3.8093
1.17413,3.80986
1.18246,3.8106
1.1908,3.81122
1.19913,3.81182
1.20746,3.81234
1.2158,3.81311
1.22413,3.81376
1.23246,3.81441
1.2408,3.81503
1.24913,3.81571
1.25746,3.81637
1.2658,3.8169
1.27413,3.81754
1.28246,3.81827
1.2908,3.81899
1.29913,3.81959
1.30746,3.82017
1.3158,3.82092
1.32413,3.82153
1.33246,3.82209
1.3408,3.82281
1.34913,3.82351
1.35746,3.82413
1.3658,3.82463
1.37413,3.82546
1.38246,3.8261
1.3908,3.82663
1.39913,3.82727
1.40746,3.82794
1.4158,3.82863
1.42413,3.82924
1.43246,3.82991
1.4408,3.83042
1.44913,3.8311
1.45746,3.83171
1.4658,3.83234
1.47413,3.83307
1.48246,3.8337
1.4908,3.8344
1.49913,3.83508
1.50746,3.83568
1.5158,3.8362
1.52413,3.83692
1.53246,3.83769
1.5408,3.83828
1.54913,3.83893
1.55746,3.83961
1.5658,3.84034
1.57413,3.84095
1.58246,3.8416
1.5908,3.84242
1.59913,3.84301
1.60746,3.84371
1.6158,3.84432
1.62413,3.84498
1.63246,3.84578
1.6408,3.84643
1.64913,3.84709
1.65746,3.84782
1.6658,3.84842
1.67413,3.84921
1.68246,3.84989
1.6908,3.85067
1.69913,3.85134
1.70746,3.85206
1.7158,3.85273
1.72413,3.85344
1.73246,3.8542
1.7408,3.85489
1.74913,3.85569
1.75746,3.85638
1.7658,3.85726
1.77413,3.8579
1.78246,3.85866
1.7908,3.85941
1.79913,3.86017
1.80746,3.86101
1.8158,3.86164
1.82413,3.86259
1.83246,3.86318
1.8408,3.86408
1.84913,3.86469
1.85746,3.86565
1.8658,3.8664
1.87413,3.86727
1.88246,3.86808
1.8908,3.86881
1.89913,3.86961
1.90746,3.87054
1.9158,3.87128
1.92413,3.87213
1.93246,3.87288
1.9408,3.87379
1.94913,3.87471
1.95746,3.87551
1.9658,3.87637
1.97413,3.87731
1.98246,3.87806
1.9908,3.87905
1.99913,3.87988
2.00746,3.88072
2.0158,3.88164
2.02413,3.88261
2.03246,3.88348
2.0408,3.88436
2.04913,3.8853
2.05746,3.88618
2.0658,3.88712
2.07413,3.88787
2.08246,3.88888
2.0908,3.88984
2.09913,3.89083
2.10746,3.89162
2.1158,3.89264
2.12413,3.89361
2.13246,3.89455
2.1408,3.89546
2.14913,3.89649
2.15746,3.89738
2.1658,3.8983
2.17413,3.89933
2.18246,3.90025
2.1908,3.90132
2.19913,3.90228
2.20746,3.90318
2.2158,3.90421
2.22413,3.9052
2.23246,3.90617
2.2408,3.90719
2.24913,3.90823
2.25746,3.90926
2.2658,3.91025
2.27413,3.91113
2.28246,3.91232
2.2908,3.91325
2.29913,3.91428
2.30746,3.91528
2.3158,3.91636
2.32413,3.91735
2.33246,3.91845
2.3408,3.91938
2.34913,3.92047
2.35746,3.92148
2.3658,3.92238
2.37413,3.92357
2.38246,3.92467
2.3908,3.92573
2.39913,3.92682
2.40746,3.92782
2.4158,3.92895
2.42413,3.93
2.43246,3.93088
2.4408,3.93204
2.44913,3.93313
2.45746,3.93419
2.4658,3.93524
2.47413,3.9364
2.48246,3.93752
2.4908,3.93849
2.49913,3.93959
2.50746,3.94076
2.5158,3.94169
2.52413,3.94285
2.53246,3.9439
2.5408,3.9451
2.54913,3.94607
2.55746,3.94721
2.5658,3.94834
2.57413,3.94934
2.58246,3.95044
2.5908,3.9516
2.59913,3.95272
2.60746,3.95379
2.6158,3.95486
2.62413,3.95589
2.63246,3.95722
2.6408,3.95823
2.64913,3.95929
2.65746,3.96045
2.6658,3.96141
2.67413,3.96263
2.68246,3.96363
2.6908,3.96485
2.69913,3.96595
2.70746,3.96707
2.7158,3.96817
2.72413,3.96931
2.73246,3.97046
2.7408,3.9715
2.74913,3.97263
2.75746,3.97383
2.7658,3.97483
2.77413,3.97613
2.78246,3.97708
2.7908,3.97842
2.79913,3.97957
2.80746,3.98051
2.8158,3.98167
2.82413,3.98271
2.83246,3.98401
2.8408,3.98505
2.84913,3.98607
2.85746,3.98729
2.8658,3.98831
2.87413,3.98951
2.88246,3.99054
2.8908,3.99178
2.89913,3.99289
2.90746,3.99397
2.9158,3.99514
2.92413,3.99625
2.93246,3.99736
2.9408,3.99849
2.94913,3.99971
2.95746,4.0008
2.9658,4.00193
2.97413,4.00303
2.98246,4.00416
2.9908,4.00533
2.99913,4.00648
3.00746,4.00774
3.0158,4.00871
3.02413,4.0098
3.03246,4.01115
3.0408,4.01212
3.04913,4.01334
3.05746,4.01442
3.0658,4.01557
3.07413,4.01677
3.08246,4.01799
3.0908,4.01908
3.09913,4.02008
3.10746,4.02138
3.1158,4.02244
3.12413,4.0237
3.13246,4.02481
3.1408,4.02589
3.14913,4.02712
3.15746,4.02829
3.1658,4.02936
3.17413,4.03054
3.18246,4.0317
3.1908,4.03284
3.19913,4.03399
3.20746,4.03516
3.2158,4.03628
3.22413,4.03746
3.23246,4.03874
3.2408,4.0398
3.24913,4.04094
3.25746,4.0421
3.2658,4.04327
3.27413,4.04442
3.28246,4.04565
3.2908,4.04685
3.29913,4.04792
3.30746,4.04913
3.3158,4.05026
3.32413,4.05133
3.33246,4.05259
3.3408,4.05383
3.34913,4.05482
3.35746,4.056
3.3658,4.05721
3.37413,4.05846
3.38246,4.05972
3.3908,4.0608
3.39913,4.06192
3.40746,4.06315
3.4158,4.06432
3.42413,4.06558
3.43246,4.06665
3.4408,4.06795
3.44913,4.06904
3.45746,4.0702
3.4658,4.07146
3.47413,4.07264
3.48246,4.0738
3.4908,4.07501
3.49913,4.07618
3.50746,4.07748
3.5158,4.07867
3.52413,4.0798
3.53246,4.08108
3.5408,4.08228
3.54913,4.08344
3.55746,4.08461
3.5658,4.0858
3.57413,4.08704
3.58246,4.08821
3.5908,4.08946
3.59913,4.09069
3.60746,4.09181
3.6158,4.09314
3.62413,4.09431
3.63246,4.09565
3.6408,4.09675
3.64913,4.09815
3.65746,4.0991
3.6658,4.10051
3.67413,4.1017
3.68246,4.10301
3.6908,4.10421
3.69913,4.10542
3.70746,4.10668
3.7158,4.10787
3.72413,4.10912
3.73246,4.11049
3.7408,4.11175
3.74913,4.11294
3.75746,4.11422
3.7658,4.11544
3.77413,4.11675
3.78246,4.11796
3.7908,4.11927
3.79913,4.12056
3.80746,4.12181
3.8158,4.12317
3.82413,4.12432
3.83246,4.12567
3.8408,4.12696
3.84913,4.12816
3.85746,4.12961
3.8658,4.13068
3.87413,4.13197
3.88246,4.13341
3.8908,4.13461
3.89913,4.13587
3.90746,4.13721
3.9158,4.13853
3.92413,4.13992
3.93246,4.14111
3.9408,4.14238
3.94913,4.14358
3.95746,4.14523
3.9658,4.14642
3.97413,4.14768
3.98246,4.14911
3.9908,4.15033
3.99913,4.15171
4.00746,4.153
4.0158,4.15442
4.02413,4.15569
4.03246,4.15692
4.0408,4.15838
4.04913,4.15963
4.05746,4.16103
4.0658,4.16234
4.07413,4.1637
4.08246,4.16503
4.0908,4.1665
4.09913,4.16772
4.10746,4.16911
4.1158,4.17051
4.12413,4.17201
4.13246,4.17331
4.1408,4.17476
4.14913,4.17606
4.15746,4.17742
4.1658,4.1788
4.17413,4.18008
4.18246,4.1815
4.1908,4.18291
4.19913,4.18423
4.20746,4.18567
4.2158,4.18709
4.22413,4.1885
4.23246,4.18984
4.2408,4.19124
4.24913,4.19264
4.25746,4.19409
4.2658,4.19546
4.27413,4.19688
4.28246,4.19837
4.2908,4.19978
4.29913,4.20129
4.30746,4.20256
4.3158,4.20401
4.32413,4.20553
4.33246,4.20695
4.3408,4.20843
4.34913,4.20978
4.35746,4.21118
4.3658,4.21251
4.37413,4.21399
4.38246,4.21564
4.3908,4.21686
4.39913,4.21838
4.40746,4.21985
4.4158,4.22128
4.42413,4.22281
4.43246,4.22414
4.4408,4.22562
4.44913,4.22714
4.45746,4.22864
4.4658,4.22998
4.47413,4.23156
4.48246,4.23298
4.4908,4.23452
4.49913,4.23585
4.50746,4.23737
4.5158,4.23891
4.52413,4.24038
4.53246,4.24182
4.5408,4.24331
4.54913,4.24477
4.55746,4.24634
4.5658,4.24788
4.57413,4.24919
4.58246,4.25089
4.5908,4.25231
4.59913,4.25379
4.60746,4.25522
4.6158,4.25684
4.62413,4.25831
4.63246,4.25983
4.6408,4.26135
4.64913,4.26274
4.65746,4.26433
4.6658,4.26572
4.67413,4.2674
4.68246,4.26878
4.6908,4.27035
4.69913,4.27176
4.70746,4.27337
4.7158,4.27487
4.72413,4.27656
4.73246,4.27798
4.7408,4.27955
4.74913,4.28108
4.75746,4.28264
4.7658,4.2841
4.77413,4.28576
4.78246,4.28719
4.7908,4.28876
4.79913,4.29026
4.80746,4.29186
4.8158,4.29347
4.82413,4.29502
4.83246,4.29659
4.8408,4.29799
4.84913,4.29962
4.85746,4.30119
4.8658,4.30268
4.87413,4.3043
4.88246,4.30572
4.8908,4.3075
4.89913,4.30889
4.90746,4.31055
4.9158,4.31219
4.92413,4.31366
4.93246,4.31535
4.9408,4.31687
4.94913,4.31852
4.95746,4.32012
4.9658,4.32163
4.97413,4.32329
4.98246,4.32486
4.9908,4.32646
4.99913,4.32801
5.00746,4.32951
5.0158,4.33131
5.02413,4.33283
5.03246,4.33433
5.0408,4.33595
5.04913,4.33749
5.05746,4.33899
5.0658,4.34058
5.07413,4.34224
5.08246,4.34378
5.0908,4.34541
5.09913,4.34692
5.10746,4.34856
5.1158,4.35005
5.12413,4.35162
5.13246,4.3532
5.1408,4.35476
5.14913,4.35632
5.15746,4.35786
5.1658,4.35934
5.17413,4.3609
5.18246,4.36232
5.1908,4.36385
5.19913,4.36531
5.20746,4.36681
5.2158,4.36839
5.22413,4.3697
5.23246,4.3712
5.2408,4.37262
5.24913,4.37412
5.25746,4.37552
5.2658,4.37684
5.27413,4.37831
5.28246,4.37973
5.2908,4.38112
5.29913,4.38262
5.30746,4.38398
5.3158,4.38515
5.32413,4.38663
5.33246,4.38771
5.3408,4.3891
5.34913,4.39028
5.35746,4.39157
5.3658,4.3929
5.37413,4.3941
5.38246,4.3954
5.3908,4.39646
5.39913,4.39786
5.40746,4.39885
5.4158,4.40014
5.42413,4.40125
5.43246,4.4025
5.4408,4.40358
5.44913,4.40472
5.45746,4.40589
5.4658,4.40692
5.47413,4.40817
5.48246,4.40927
5.4908,4.41034
5.49913,4.41148
5.50746,4.41245
5.5158,4.41342
5.52413,4.41459
5.53246,4.41558
5.5408,4.4166
5.54913,4.41766
5.55746,4.41862
5.5658,4.41956
5.57413,4.42058
5.58246,4.42152
5.5908,4.42253
5.59913,4.42344
5.60746,4.42449
5.6158,4.42544
5.62413,4.42643
5.63246,4.4272
5.6408,4.42831
5.64913,4.42933
5.65746,4.43021
5.6658,4.43113
5.67413,4.43194
5.68246,4.43281
5.6908,4.43368
5.69913,4.43468
5.70746,4.43552
5.7158,4.4364
5.72413,4.43738
5.73246,4.43824
5.7408,4.43903
5.74913,4.43984
5.75746,4.44067
5.7658,4.44168
5.77413,4.44237
5.78246,4.44314
5.7908,4.44402
5.79913,4.44482
5.80746,4.44559
5.8158,4.44626
5.82413,4.44728
5.83246,4.44801
5.8408,4.44884
5.84913,4.44953
5.85746,4.45031
5.8658,4.45107
5.87413,4.45186
5.88246,4.45263
5.8908,4.4535
5.89913,4.45415
5.90746,4.45489
5.9158,4.45556
5.92413,4.45625
5.93246,4.45716
5.9408,4.4578
5.94913,4.45859
5.95746,4.45921
5.9658,4.45992
5.97413,4.46076
5.98246,4.46139
5.9908,4.46201
5.99913,4.46275
6.00746,4.46343
6.0158,4.46413
6.02413,4.46481
6.03246,4.46533
6.0408,4.46599
6.04913,4.46666
6.05746,4.46732
6.0658,4.46801
6.07413,4.46869
6.08246,4.46937
6.0908,4.47
6.09913,4.47067
6.10746,4.47135
6.1158,4.472
6.12413,4.47255
6.13246,4.47313
6.1408,4.47381
6.14913,4.47447
6.15746,4.47497
6.1658,4.47568
6.17413,4.47624
6.18246,4.47681
6.1908,4.47747
6.19913,4.47797
6.20746,4.47863
6.2158,4.47911
6.22413,4.47978
6.23246,4.4803
6.2408,4.48088
6.24913,4.48153
6.25746,4.48204
6.2658,4.4826
6.27413,4.48318
6.28246,4.48359
6.2908,4.48416
6.29913,4.48462
6.30746,4.48519
6.3158,4.48583
6.32413,4.48635
6.33246,4.48695
6.3408,4.48758
6.34913,4.48816
6.35746,4.48881
6.3658,4.48916
6.37413,4.48967
6.38246,4.49022
6.3908,4.49081
6.39913,4.49127
6.40746,4.49169
6.4158,4.49234
6.42413,4.49272
6.43246,4.49321
6.4408,4.49375
6.44913,4.49428
6.45746,4.4946
6.4658,4.49517
6.47413,4.4956
6.48246,4.49607
6.4908,4.49652
6.49913,4.49715
6.50746,4.49745
6.5158,4.49795
6.52413,4.49827
6.53246,4.49881
6.5408,4.49924
6.54913,4.49968
6.55746,4.50004
6.5658,4.50052
6.57413,4.50092
6.58246,4.50119
6.5908,4.50163
6.59913,4.50207
6.60746,4.50259
6.6158,4.50292
6.62413,4.50332
6.63246,4.50366
6.6408,4.50411
6.64913,4.50442
6.65746,4.50498
6.6658,4.50531
6.67413,4.50579
6.68246,4.50622
6.6908,4.50651
6.69913,4.50699
6.70746,4.50724
6.7158,4.50774
6.72413,4.50813
6.73246,4.50858
6.7408,4.50906
6.74913,4.5094
6.75746,4.50971
6.7658,4.51
6.77413,4.51043
6.78246,4.51078
6.7908,4.51103
6.79913,4.51135
6.80746,4.51169
6.8158,4.51198
6.82413,4.51233
6.83246,4.51272
6.8408,4.51306
6.84913,4.51352
6.85746,4.51368
6.8658,4.51415
6.87413,4.5144
6.88246,4.51468
6.8908,4.51502
6.89913,4.51534
6.90746,4.51565
6.9158,4.51615
6.92413,4.51652
6.93246,4.51679
6.9408,4.51716
6.94913,4.51733
6.95746,4.51773
6.9658,4.51815
6.97413,4.51841
6.98246,4.51887
6.9908,4.51911
6.99913,4.51962
7.00746,4.5197
7.0158,4.51991
7.02413,4.52031
7.03246,4.52062
7.0408,4.52076
7.04913,4.52108
7.05746,4.52152
7.0658,4.52159
7.07413,4.52199
7.08246,4.52208
7.0908,4.52241
7.09913,4.52272
7.10746,4.52299
7.1158,4.52317
7.12413,4.52357
7.13246,4.52372
7.1408,4.52386
7.14913,4.52428
7.15746,4.52448
7.1658,4.52481
7.17413,4.52494
7.18246,4.52524
7.1908,4.52566
7.19913,4.52581
7.20746,4.52602
7.2158,4.52641
7.22413,4.52667
7.23246,4.52709
7.2408,4.5272
7.24913,4.52762
7.25746,4.5277
7.2658,4.52795
7.27413,4.52802
7.28246,4.52835
7.2908,4.52867
7.29913,4.52879
7.30746,4.52896
7.3158,4.52925
7.32413,4.52936
7.33246,4.52967
7.3408,4.52995
7.34913,4.53015
7.35746,4.53029
7.3658,4.53058
7.37413,4.53096
7.38246,4.53109
7.3908,4.53129
7.39913,4.5316
7.40746,4.53185
7.4158,4.53203
7.42413,4.53236
7.43246,4.53254
7.4408,4.53274
7.44913,4.53295
7.45746,4.53334
7.4658,4.53353
7.47413,4.53383
7.48246,4.5341
7.4908,4.53434
7.49913,4.53444
7.50746,4.53469
7.5158,4.53488
7.52413,4.53511
7.53246,4.53531
7.5408,4.53545
7.54913,4.53571
7.55746,4.53586
7.5658,4.53621
7.57413,4.53613
7.58246,4.53646
7.5908,4.53664
7.59913,4.53686
7.60746,4.53705
7.6158,4.53718
7.62413,4.53734
7.63246,4.53753
7.6408,4.53786
7.64913,4.5381
7.65746,4.53839
7.6658,4.53853
7.67413,4.53874
7.68246,4.53893
7.6908,4.5393
7.69913,4.5393
7.70746,4.5396
7.7158,4.53998
7.72413,4.54028
7.73246,4.54045
7.7408,4.54056
7.74913,4.54091
7.75746,4.54106
7.7658,4.54125
7.77413,4.54138
7.78246,4.54167
7.7908,4.5417
7.79913,4.54187
7.80746,4.54218
7.8158,4.54221
7.82413,4.54248
7.83246,4.54259
7.8408,4.54283
7.84913,4.54307
7.85746,4.5433
7.8658,4.54329
7.87413,4.54345
7.88246,4.54357
7.8908,4.54382
7.89913,4.54394
7.90746,4.54408
7.9158,4.54431
7.92413,4.54442
7.93246,4.54455
7.9408,4.54477
7.94913,4.54495
7.95746,4.54513
7.96579,4.54539
7.97413,4.54559
7.98246,4.54587
7.99079,4.54617
7.99913,4.54626
8.00746,4.54654
8.01579,4.54666
8.02413,4.54665
8.03246,4.54712
8.04079,4.54722
8.04913,4.54732
8.05746,4.54757
8.06579,4.54771
8.07413,4.54807
8.08246,4.54816
8.09079,4.54838
8.09913,4.54846
8.10746,4.54867
8.11579,4.54887
8.12413,4.54898
8.13246,4.54922
8.14079,4.5493
8.14913,4.54941
8.15746,4.54967
8.16579,4.54977
8.17413,4.55013
8.18246,4.55021
8.19079,4.55032
8.19913,4.5505
8.20746,4.55059
8.21579,4.55079
8.22413,4.55114
8.23246,4.55128
8.24079,4.55153
8.24913,4.55167
8.25746,4.55178
8.26579,4.5519
8.27413,4.55209
8.28246,4.5522
8.29079,4.55246
8.29913,4.55257
8.30746,4.55297
8.31579,4.55299
8.32413,4.55323
8.33246,4.55347
8.34079,4.55379
8.34913,4.55393
8.35746,4.55416
8.36579,4.55426
8.37413,4.55442
8.38246,4.55452
8.39079,4.55487
8.39913,4.55494
8.40746,4.55512
8.41579,4.55526
8.42413,4.55545
8.43246,4.55559
8.44079,4.55577
8.44913,4.55604
8.45746,4.55615
8.46579,4.55631
8.47413,4.55657
8.48246,4.55676
8.49079,4.55695
8.49913,4.5572
8.50746,4.55735
8.51579,4.55739
8.52413,4.55749
8.53246,4.55785
8.54079,4.55782
8.54913,4.5579
8.55746,4.55825
8.56579,4.55828
8.57413,4.5586
8.58246,4.55876
8.59079,4.55898
8.59913,4.55925
8.60746,4.55928
8.61579,4.55963
8.62413,4.55987
8.63246,4.55992
8.64079,4.56006
8.64913,4.56037
8.65746,4.56051
8.66579,4.56068
8.67413,4.56078
8.68246,4.56098
8.69079,4.56118
8.69913,4.56125
8.70746,4.56157
8.71579,4.56177
8.72413,4.56202
8.73246,4.56226
8.74079,4.56246
8.74913,4.56273
8.75746,4.56293
8.76579,4.56291
8.77413,4.56294
8.78246,4.56316
8.79079,4.56336
8.79913,4.56348
8.80746,4.56366
8.81579,4.56382
8.82413,4.56394
8.83246,4.56412
8.84079,4.56433
8.84913,4.56451
8.85746,4.56473
8.86579,4.5648
8.87413,4.56514
8.88246,4.56537
8.89079,4.56549
8.89913,4.5657
8.90746,4.56608
8.91579,4.56612
8.92413,4.56628
8.93246,4.56662
8.94079,4.56674
8.94913,4.56688
8.95746,4.56716
8.96579,4.56735
8.97413,4.56752
8.98246,4.568
8.99079,4.5682
8.99913,4.56833
9.00746,4.56845
9.01579,4.56871
9.02413,4.56867
9.03246,4.56894
9.04079,4.56907
9.04913,4.56937
9.05746,4.56945
9.06579,4.56963
9.07413,4.56977
9.08246,4.57
9.09079,4.5702
9.09913,4.57039
9.10746,4.57069
9.11579,4.57077
9.12413,4.57101
9.13246,4.57123
9.14079,4.57133
9.14913,4.57158
9.15746,4.57172
9.16579,4.5719
9.17413,4.57226
9.18246,4.57254
9.19079,4.5728
9.19913,4.57306
9.20746,4.57329
9.21579,4.57374
9.22413,4.57395
9.23246,4.57415
9.24079,4.57431
9.24913,4.57479
9.25746,4.57482
9.26579,4.57511
9.27413,4.57525
9.28246,4.5754
9.29079,4.57559
9.29913,4.57584
9.30746,4.57602
9.31579,4.57605
9.32413,4.57636
9.33246,4.57668
9.34079,4.5769
9.34913,4.57706
9.35746,4.57728
9.36579,4.57753
9.37413,4.57765
9.38246,4.57794
9.39079,4.57816
9.39913,4.57826
9.40746,4.5786
9.41579,4.57874
9.42413,4.57892
9.43246,4.57924
9.44079,4.57971
9.44913,4.57985
9.45746,4.58016
9.46579,4.58047
9.47413,4.58068
9.48246,4.58104
9.49079,4.58137
9.49913,4.58172
9.50746,4.58183
9.51579,4.58217
9.52413,4.58232
9.53246,4.58261
9.54079,4.58268
9.54913,4.58302
9.55746,4.58325
9.56579,4.58348
9.57413,4.58361
9.58246,4.58402
9.59079,4.58426
9.59913,4.58444
9.60746,4.5847
9.61579,4.5849
9.62413,4.58527
9.63246,4.58552
9.64079,4.58579
9.64913,4.58601
9.65746,4.58626
9.66579,4.58642
9.67413,4.58667
9.68246,4.587
9.69079,4.58725
9.69913,4.58764
